Tanggal,Harga Buka,Harga Tertinggi ,Harga Terendah,Harga Tutup,Harga Penutupan Disesuaikan,Volume Perdagangan
2019-01-01,4400,4400,4400,4400,3718.3537597656,0
2019-01-02,4400,4400,4337.5,4362.5,3686.6630859375,15681200
2019-01-03,4337.5,4387.5,4325,4362.5,3686.6630859375,21416600
2019-01-04,4362.5,4400,4337.5,4362.5,3686.6630859375,41078600
2019-01-07,4412.5,4462.5,4412.5,4437.5,3750.0439453125,48108200
2019-01-08,4437.5,4475,4400,4450,3760.6079101562,45945800
2019-01-09,4475,4475,4412.5,4425,3739.4809570312,50484000
2019-01-10,4462.5,4462.5,4400,4425,3739.4809570312,44421400
2019-01-11,4475,4487.5,4450,4462.5,3771.1716308594,47217000
2019-01-14,4487.5,4487.5,4425,4437.5,3750.0439453125,26702800
2019-01-15,4437.5,4550,4425,4500,3802.8618164062,49947400
2019-01-16,4525,4625,4500,4625,3908.4965820312,58089800
2019-01-17,4612.5,4662.5,4575,4625,3908.4965820312,47773600
2019-01-18,4650,4700,4600,4700,3971.8781738281,39366000
2019-01-21,4600,4687.5,4600,4612.5,3897.9331054688,33397400
2019-01-22,4612.5,4625,4587.5,4625,3908.4965820312,42127800
2019-01-23,4587.5,4612.5,4512.5,4525,3823.9890136719,51746000
2019-01-24,4525,4537.5,4487.5,4500,3802.8618164062,88315800
2019-01-25,4512.5,4562.5,4500,4550,3845.1157226562,51100800
2019-01-28,4550,4562.5,4525,4550,3845.1157226562,42198000
2019-01-29,4525,4550,4462.5,4512.5,3813.4255371094,38083600
2019-01-30,4450,4500,4450,4500,3802.8618164062,40402400
2019-01-31,4500,4587.5,4500,4537.5,3834.5524902344,72412200
2019-02-01,4550,4662.5,4537.5,4625,3908.4965820312,83559800
2019-02-04,4625,4637.5,4550,4562.5,3855.6791992188,45077600
2019-02-05,4562.5,4562.5,4562.5,4562.5,3855.6791992188,0
2019-02-06,4562.5,4612.5,4550,4550,3845.1157226562,39366200
2019-02-07,4550,4550,4512.5,4537.5,3834.5524902344,11857200
2019-02-08,4475,4525,4462.5,4487.5,3792.2978515625,25850600
2019-02-11,4475,4525,4450,4525,3823.9890136719,29542600
2019-02-12,4525,4537.5,4450,4450,3760.6079101562,25694400
2019-02-13,4425,4450,4325,4325,3654.9729003906,57993000
2019-02-14,4325,4437.5,4325,4387.5,3707.7905273438,34647200
2019-02-15,4387.5,4387.5,4350,4387.5,3707.7905273438,25669400
2019-02-18,4400,4525,4400,4487.5,3792.2978515625,32794600
2019-02-19,4487.5,4512.5,4412.5,4437.5,3750.0439453125,17644000
2019-02-20,4450,4450,4350,4412.5,3728.9174804688,30538000
2019-02-21,4450,4475,4387.5,4462.5,3771.1716308594,26466400
2019-02-22,4450,4450,4325,4362.5,3686.6630859375,59643400
2019-02-25,4387.5,4425,4362.5,4400,3718.3537597656,31297800
2019-02-26,4400,4437.5,4350,4425,3739.4809570312,32625400
2019-02-27,4375,4462.5,4362.5,4425,3739.4809570312,19073600
2019-02-28,4462.5,4462.5,4362.5,4400,3718.3537597656,33411200
2019-03-01,4412.5,4487.5,4400,4487.5,3792.2978515625,26656800
2019-03-04,4450,4500,4437.5,4475,3781.7351074219,28548200
2019-03-05,4462.5,4462.5,4362.5,4400,3718.3537597656,28743600
2019-03-06,4375,4437.5,4375,4400,3718.3537597656,23339600
2019-03-07,4400,4400,4400,4400,3718.3537597656,0
